name	start_line	end_line	line_count	priority	recommendation
xpInfopediaLines	13623	13653	31	normal	leave until owning subsystem is clearer
factionSpecificNote	13791	13821	31	normal	leave until owning subsystem is clearer
drawCombatTargetOverlay	15090	15120	31	render	render helper candidate
drawMouseMovementPreview	15350	15380	31	render	render helper candidate
prayImperialForgivenessService	6505	6534	30	normal	leave until owning subsystem is clearer
takeAllSelectedPersistentStockObject	9516	9545	30	normal	leave until owning subsystem is clearer
drawExplosionAnimations	15059	15088	30	render	render helper candidate
petNpcAt	2313	2341	29	normal	leave until owning subsystem is clearer
applyPlayerBodyDamage	5072	5100	29	normal	leave until owning subsystem is clearer
startLoadingFinalizationWorker	9894	9922	29	normal	leave until owning subsystem is clearer
enforceCorridorBlockingClearance	9952	9980	29	normal	leave until owning subsystem is clearer
craftingReferenceLines	13690	13718	29	normal	leave until owning subsystem is clearer
drawWrappedPanelLines	14527	14555	29	render	render helper candidate
drawItemQualityFrame	16432	16460	29	render	render helper candidate
drawInteractDetailPanel	17544	17572	29	render	render helper candidate
isGraphicsDropdownButton	20068	20096	29	normal	leave until owning subsystem is clearer
zoneAmbientMusicContext	647	674	28	normal	leave until owning subsystem is clearer
attackSectorGovernor	2766	2793	28	normal	leave until owning subsystem is clearer
throwSelectedExplosiveAtCursor	4249	4276	28	normal	leave until owning subsystem is clearer
talkToNpc	6420	6447	28	normal	leave until owning subsystem is clearer
useWorkshopStructures	8724	8751	28	normal	leave until owning subsystem is clearer
heatInfopediaLines	13594	13621	28	normal	leave until owning subsystem is clearer
drawPlayerActionCountdownOverlay	15912	15939	28	render	render helper candidate
drawEquipmentSlots	16814	16841	28	render	render helper candidate
addGraphicsDropdownButtons	20098	20125	28	normal	leave until owning subsystem is clearer
actionPerformed	21163	21190	28	normal	leave until owning subsystem is clearer
inspectCurrentRoomCache	6252	6278	27	normal	leave until owning subsystem is clearer
tradeBuySelected	6787	6813	27	normal	leave until owning subsystem is clearer
sanitizeCurrentWorldFeaturePlacement	9924	9950	27	normal	leave until owning subsystem is clearer
drawSlicedFrame	10379	10405	27	render	render helper candidate
infopediaRelatedEntries	12788	12814	27	normal	leave until owning subsystem is clearer
findPreviewPath	15303	15329	27	normal	leave until owning subsystem is clearer
constructionMenuGuidanceLines	7700	7725	26	normal	leave until owning subsystem is clearer
drawWorldSelect	10886	10911	26	render	render helper candidate
throwSelectedPortableLight	18188	18213	26	normal	leave until owning subsystem is clearer
collectBusinessIncome	19192	19217	26	normal	leave until owning subsystem is clearer
inputActionLabel	20290	20315	26	normal	leave until owning subsystem is clearer
keyboardPromptFor	20334	20359	26	normal	leave until owning subsystem is clearer
drawHoverHelp	20646	20671	26	render	render helper candidate
ensureMachineAccess	2566	2590	25	normal	leave until owning subsystem is clearer
handlePlayerUnconsciousness	3040	3064	25	normal	leave until owning subsystem is clearer
addDoorAndMachineFallbackLight	5318	5342	25	normal	leave until owning subsystem is clearer
tradeHaggle	6836	6860	25	normal	leave until owning subsystem is clearer
craftSelectedRecipe	8141	8165	25	normal	leave until owning subsystem is clearer
stealBankManagerKeycardAt	9247	9271	25	normal	leave until owning subsystem is clearer
updateMouseMovementPreviewTo	15204	15228	25	normal	leave until owning subsystem is clearer
drawCaptureScreen	16233	16257	25	render	render helper candidate
transferContainerItemResultByInstanceId	17690	17714	25	normal	leave until owning subsystem is clearer
applyMedicalItemEffect	18057	18081	25	normal	leave until owning subsystem is clearer
baseProductionLedgerLines	18626	18650	25	normal	leave until owning subsystem is clearer
drawTimedAlert	13948	13971	24	render	render helper candidate
acceptJvmSettingsAndRestart	20177	20200	24	normal	leave until owning subsystem is clearer
activateCommand	1779	1801	23	normal	leave until owning subsystem is clearer
maybeNpcAmbient	3948	3970	23	normal	leave until owning subsystem is clearer
interactLightSwitchAt	7039	7061	23	normal	leave until owning subsystem is clearer
useComfortStructures	8055	8077	23	normal	leave until owning subsystem is clearer
talkToFactionRepresentative	8803	8825	23	normal	leave until owning subsystem is clearer
startGame	9815	9837	23	normal	leave until owning subsystem is clearer
drawKnowledgeCanvas	12404	12426	23	render	render helper candidate
drawInfopediaPanel	13973	13995	23	render	render helper candidate
applySemanticButtonIcons	14171	14193	23	normal	leave until owning subsystem is clearer
drawLightDarknessOverlay	14845	14867	23	render	render helper candidate
selectedInteractionApproachTile	15230	15252	23	normal	leave until owning subsystem is clearer
equipInventoryClothing	17989	18011	23	normal	leave until owning subsystem is clearer
chooseGeneratedAssetPayloadRoot	19871	19893	23	normal	leave until owning subsystem is clearer
auditLoadingWatchdog	21139	21161	23	normal	leave until owning subsystem is clearer
setScreen	761	782	22	normal	leave until owning subsystem is clearer
fixtureStatusText	1942	1963	22	normal	leave until owning subsystem is clearer
bribeSectorGovernor	2743	2764	22	normal	leave until owning subsystem is clearer
advanceTurnSleepingBody	3161	3182	22	normal	leave until owning subsystem is clearer
spendDeferredSimulationBudgetBody	3635	3656	22	normal	leave until owning subsystem is clearer
payArbitesFine	6092	6113	22	normal	leave until owning subsystem is clearer
auditTileInspectionLines	11504	11525	22	normal	leave until owning subsystem is clearer
rebuildKnowledgeScreenButtons	12252	12273	22	normal	leave until owning subsystem is clearer
drawKnowledgeRightPane	12381	12402	22	render	render helper candidate
npcInfopediaLines	13720	13741	22	normal	leave until owning subsystem is clearer
drawRoadDirectionLines	15810	15831	22	render	render helper candidate
zoneRaidThreatName	18831	18852	22	normal	leave until owning subsystem is clearer
applyBusinessPressureTick	18854	18875	22	normal	leave until owning subsystem is clearer
visibleRoomIntelLines	19636	19657	22	normal	leave until owning subsystem is clearer
ensureRoomCacheSeeded	6230	6250	21	normal	leave until owning subsystem is clearer
tradeSellPreviewLines	6674	6694	21	normal	leave until owning subsystem is clearer
selectedProductionGuidanceLines	7800	7820	21	normal	leave until owning subsystem is clearer
drawKnowledgeTreeNode	12450	12470	21	render	render helper candidate
flowOptionsButtons	14412	14432	21	normal	leave until owning subsystem is clearer
drawPortrait	14557	14577	21	render	render helper candidate
drawLostScreen	16259	16279	21	render	render helper candidate
equipInventoryItemToPaperDoll	16777	16797	21	normal	leave until owning subsystem is clearer
drawScrollableWrappedLines	17155	17175	21	render	render helper candidate
ensureTraderOfferShelfInstance	17626	17646	21	normal	leave until owning subsystem is clearer
openOrLicenseBusiness	18729	18749	21	normal	leave until owning subsystem is clearer
newsArchiveLines	19564	19584	21	normal	leave until owning subsystem is clearer
requestDoomModeToggle	20035	20055	21	normal	leave until owning subsystem is clearer
loadGameSlot	1012	1031	20	normal	leave until owning subsystem is clearer
attemptPlayerMove	3665	3684	20	normal	leave until owning subsystem is clearer
tickFactionWallRepairAndHiveQuake	4765	4784	20	normal	leave until owning subsystem is clearer
hostileAdjacentAttack	5033	5052	20	normal	leave until owning subsystem is clearer
tradeSellSelected	6815	6834	20	normal	leave until owning subsystem is clearer
beginBuildPlacement	7587	7606	20	normal	leave until owning subsystem is clearer
operateMicroForge	8235	8254	20	normal	leave until owning subsystem is clearer
interactCorpseContainer	9703	9722	20	normal	leave until owning subsystem is clearer
trimRoadsAtBoundaryAndHivewallCrossings	10005	10024	20	normal	leave until owning subsystem is clearer
drawRotatingGear	10500	10519	20	render	render helper candidate
openInfopediaEntry	12767	12786	20	normal	leave until owning subsystem is clearer
npcProjectedStep	15526	15545	20	normal	leave until owning subsystem is clearer
drawNpcMapIcon	15941	15960	20	render	render helper candidate
unequipSelectedEquipmentSlotBody	16746	16765	20	normal	leave until owning subsystem is clearer
drawFactionRelationsPanel	16930	16949	20	render	render helper candidate
drawSectorGrid	17000	17019	20	render	render helper candidate
drawLookStackIconForIndex	17505	17524	20	render	render helper candidate
dropSelectedInventoryItem	18105	18124	20	normal	leave until owning subsystem is clearer
baseSecurityRating	18751	18770	20	normal	leave until owning subsystem is clearer
factionStrategyLines	18978	18997	20	normal	leave until owning subsystem is clearer
targetPanelCursorFromMouse	20721	20740	20	normal	leave until owning subsystem is clearer
generateCandidates	717	735	19	normal	leave until owning subsystem is clearer
spawnGovernorGuards	2795	2813	19	normal	leave until owning subsystem is clearer
processPersonnelReplacementQueue	3928	3946	19	normal	leave until owning subsystem is clearer
disarmExplosiveAt	4337	4355	19	normal	leave until owning subsystem is clearer
arbitesPatrolEligibleZone	5977	5995	19	normal	leave until owning subsystem is clearer
consumeBuildComponents	7894	7912	19	normal	leave until owning subsystem is clearer
passiveBaseObjectTicks	8025	8043	19	normal	leave until owning subsystem is clearer
recruitActiveNpc	8288	8306	19	normal	leave until owning subsystem is clearer
turnInFactionContract	8863	8881	19	normal	leave until owning subsystem is clearer
raiseBankHeistAlarmAt	9295	9313	19	normal	leave until owning subsystem is clearer
interactContractObject	9578	9596	19	normal	leave until owning subsystem is clearer
materializeFactionTraderStock	9724	9742	19	normal	leave until owning subsystem is clearer
applyNameLockedProfileUnlocks	10102	10120	19	normal	leave until owning subsystem is clearer
mainMenuButtonFrameRect	10974	10992	19	normal	leave until owning subsystem is clearer
drawKnowledgeBranchTabs	12344	12362	19	render	render helper candidate
stampUiFrameId	14202	14220	19	normal	leave until owning subsystem is clearer
drawScavengeTargetPanel	16281	16299	19	render	render helper candidate
currentTargetInventoryStacks	16361	16379	19	normal	leave until owning subsystem is clearer
inventoryItemDetailLines	16522	16540	19	normal	leave until owning subsystem is clearer
drawContractObjectiveMarker	17074	17092	19	render	render helper candidate
drawCenteredZoneLabel	17113	17131	19	render	render helper candidate
drawZoneSplash	17256	17274	19	render	render helper candidate
usePortableLightItem	18152	18170	19	normal	leave until owning subsystem is clearer
toggleRecruitGuardDuty	18804	18822	19	normal	leave until owning subsystem is clearer
ambientRivalFaction	19081	19099	19	normal	leave until owning subsystem is clearer
drawTextPanel	20617	20635	19	render	render helper candidate
sleepOnCot	2858	2875	18	normal	leave until owning subsystem is clearer
nearestMedicalFacilityPoint	3096	3113	18	normal	leave until owning subsystem is clearer
hostileAwareOfPlayer	4010	4027	18	normal	leave until owning subsystem is clearer
ammoItemForWeapon	4126	4143	18	normal	leave until owning subsystem is clearer
magazineCapacityForWeapon	4145	4162	18	normal	leave until owning subsystem is clearer
assignSelectedGeneratedProductionJob	8548	8565	18	normal	leave until owning subsystem is clearer
interactBaseObject	8784	8801	18	normal	leave until owning subsystem is clearer
createGroundLootContainerNear	9660	9677	18	normal	leave until owning subsystem is clearer
screenPointToAuditTile	11406	11423	18	normal	leave until owning subsystem is clearer
flowButtonGroup	14393	14410	18	normal	leave until owning subsystem is clearer
screenPointToWorldTile	15122	15139	18	normal	leave until owning subsystem is clearer
executeMouseMovementPreview	15331	15348	18	normal	leave until owning subsystem is clearer
drawMapFeatureIcon	15871	15888	18	render	render helper candidate
applyScrollValue	17192	17209	18	normal	leave until owning subsystem is clearer
drawClippedWrappedLines	20580	20597	18	render	render helper candidate
consumeEmergencyRation	2877	2893	17	normal	leave until owning subsystem is clearer
coreAmbientCueForZone	3474	3490	17	normal	leave until owning subsystem is clearer
executePacedMovement	3584	3600	17	normal	leave until owning subsystem is clearer
attemptPlayerMoveOneTile	3716	3732	17	normal	leave until owning subsystem is clearer
linePoints	4635	4651	17	normal	leave until owning subsystem is clearer
addLightLevelSource	5366	5382	17	normal	leave until owning subsystem is clearer
inPlayerVisionShape	5492	5508	17	normal	leave until owning subsystem is clearer
interactNewsVendingMachine	6972	6988	17	normal	leave until owning subsystem is clearer
edgeDirection	7346	7362	17	normal	leave until owning subsystem is clearer
operateAtmosCondenser	8217	8233	17	normal	leave until owning subsystem is clearer
spawnBountyTarget	8898	8914	17	normal	leave until owning subsystem is clearer
withdrawFromSelectedBank	9155	9171	17	normal	leave until owning subsystem is clearer
applyBankAlarmPressureTick	9381	9397	17	normal	leave until owning subsystem is clearer
inspectSelectedPersistentStockObject	9490	9506	17	normal	leave until owning subsystem is clearer
nearestOpenFeatureTile	10026	10042	17	normal	leave until owning subsystem is clearer
zoneFirstImpression	10063	10079	17	normal	leave until owning subsystem is clearer
mainMenuSubtitleRect	10956	10972	17	normal	leave until owning subsystem is clearer
drawInfopediaIcon	14030	14046	17	render	render helper candidate
drawTrapWarningOverlays	14893	14909	17	render	render helper candidate
drawPaperDoll	16902	16918	17	render	render helper candidate
contractObjectiveGuidanceLines	17021	17037	17	normal	leave until owning subsystem is clearer
drawLookStackIconStrip	17526	17542	17	render	render helper candidate
rebuildItemContainersFromLegacyLists	17882	17898	17	normal	leave until owning subsystem is clearer
itemActionSummary	17955	17971	17	normal	leave until owning subsystem is clearer
baseSizeStatusLine	18597	18613	17	normal	leave until owning subsystem is clearer
playerFactionPower	18913	18929	17	normal	leave until owning subsystem is clearer
colorForFaction	19772	19788	17	normal	leave until owning subsystem is clearer
drawFrameWrappedCenteredText	20599	20615	17	render	render helper candidate
mouseWheelMoved	21214	21230	17	normal	leave until owning subsystem is clearer
keyTyped	21231	21247	17	normal	leave until owning subsystem is clearer
stateSummary	889	904	16	normal	leave until owning subsystem is clearer
sanityCheck	1042	1057	16	normal	leave until owning subsystem is clearer
agilityActionCost	1834	1849	16	normal	leave until owning subsystem is clearer
examineSelectedLookTarget	1965	1980	16	normal	leave until owning subsystem is clearer
petCareReadabilityLines	2138	2153	16	normal	leave until owning subsystem is clearer
interactShrine	2709	2724	16	normal	leave until owning subsystem is clearer
attemptPlayerPathSeekingStep	3699	3714	16	normal	leave until owning subsystem is clearer
detectHostileIntent	4052	4067	16	normal	leave until owning subsystem is clearer
strayImpactPoint	4655	4670	16	normal	leave until owning subsystem is clearer
decayHiddenCorpse	4748	4763	16	normal	leave until owning subsystem is clearer
strayImpactPointFrom	4961	4976	16	normal	leave until owning subsystem is clearer
npcAttackWeapon	5102	5117	16	normal	leave until owning subsystem is clearer
npcSoundChance	5720	5735	16	normal	leave until owning subsystem is clearer
applyArbitesPatrolSweep	6002	6017	16	normal	leave until owning subsystem is clearer
restOneHourOnUnclaimedFurniture	6383	6398	16	normal	leave until owning subsystem is clearer
openDepotTrader	6403	6418	16	normal	leave until owning subsystem is clearer
conversationChoiceGuidanceLines	6585	6600	16	normal	leave until owning subsystem is clearer
tradeOfferDetailLines	6657	6672	16	normal	leave until owning subsystem is clearer
spawnPointForTransition	7520	7535	16	normal	leave until owning subsystem is clearer
constructionBlueprintFor	7656	7671	16	normal	leave until owning subsystem is clearer
assignSelectedRecipeToMachine	8470	8485	16	normal	leave until owning subsystem is clearer
refreshGeneratedProductionForecast	8518	8533	16	normal	leave until owning subsystem is clearer
useSecurityStructures	8753	8768	16	normal	leave until owning subsystem is clearer
readFactionJournalAt	9011	9026	16	normal	leave until owning subsystem is clearer
sellLeaderJournalsToINN	9060	9075	16	normal	leave until owning subsystem is clearer
alertBankGuardsNear	9399	9414	16	normal	leave until owning subsystem is clearer
turnInBankLockboxContract	9431	9446	16	normal	leave until owning subsystem is clearer
encodeEditorGrid	11357	11372	16	normal	leave until owning subsystem is clearer
drawKnowledgeLeftPane	12364	12379	16	render	render helper candidate
inventoryActionInnerSafeRect	14326	14341	16	normal	leave until owning subsystem is clearer
checkTrapAfterPlayerMove	14876	14891	16	normal	leave until owning subsystem is clearer
drawPortableLightObjects	14959	14974	16	render	render helper candidate
drawZoneLightFixtureObjects	14976	14991	16	render	render helper candidate
npcIntentLabel	15468	15483	16	normal	leave until owning subsystem is clearer
provenanceForItem	17788	17803	16	normal	leave until owning subsystem is clearer
consumeWakefulnessItem	18235	18250	16	normal	leave until owning subsystem is clearer
baseExpansionHeatDriverLine	18436	18451	16	normal	leave until owning subsystem is clearer
baseStorageRiskSummaryLine	18553	18568	16	normal	leave until owning subsystem is clearer
inputActionContext	20317	20332	16	normal	leave until owning subsystem is clearer
xboxPromptFor	20371	20386	16	normal	leave until owning subsystem is clearer
playstationPromptFor	20388	20403	16	normal	leave until owning subsystem is clearer
steamPromptFor	20405	20420	16	normal	leave until owning subsystem is clearer
genericPromptFor	20422	20437	16	normal	leave until owning subsystem is clearer
triggerPlayerDeath	3137	3151	15	normal	leave until owning subsystem is clearer
updateMoveGhostTarget	3528	3542	15	normal	leave until owning subsystem is clearer
queueOrExecuteMovementInput	3568	3582	15	normal	leave until owning subsystem is clearer
beginExplosiveTargeting	4470	4484	15	normal	leave until owning subsystem is clearer
factionForTile	5154	5168	15	normal	leave until owning subsystem is clearer
factionOnlyRoomFactionAt	5174	5188	15	normal	leave until owning subsystem is clearer
lightAllowsPlayerVision	5400	5414	15	normal	leave until owning subsystem is clearer
hasLineOfSight	5839	5853	15	normal	leave until owning subsystem is clearer
readInventoryNewspaper	7007	7021	15	normal	leave until owning subsystem is clearer
interactBroadcastDevice	7023	7037	15	normal	leave until owning subsystem is clearer
interactZoneEdgeDoor	7364	7378	15	normal	leave until owning subsystem is clearer
loadAtlasWorld	7420	7434	15	normal	leave until owning subsystem is clearer
buildBaseObject	7966	7980	15	normal	leave until owning subsystem is clearer
stealFactionJournalAt	9033	9047	15	normal	leave until owning subsystem is clearer
corpseLootFor	9598	9612	15	normal	leave until owning subsystem is clearer
useSelectedWorldForCharacterCreation	10823	10837	15	normal	leave until owning subsystem is clearer
drawInGameGenericEditor	11233	11247	15	render	render helper candidate
handleInGameEditorGridPaint	11387	11401	15	normal	leave until owning subsystem is clearer
zoneAuditDropdownOuterRect	11731	11745	15	normal	leave until owning subsystem is clearer
drawMiniStackIcon	16416	16430	15	render	render helper candidate
playerEquippedArmorBonus	16692	16706	15	normal	leave until owning subsystem is clearer
getScrollValue	17177	17191	15	normal	leave until owning subsystem is clearer
useSelectedInventoryItemBody	18136	18150	15	normal	leave until owning subsystem is clearer
dropPortableLightItem	18172	18186	15	normal	leave until owning subsystem is clearer
applyFactionMarketPressureTick	19065	19079	15	normal	leave until owning subsystem is clearer
controlsReferenceLines	20258	20272	15	normal	leave until owning subsystem is clearer
shutdownRuntime	603	616	14	normal	leave until owning subsystem is clearer
writeSaveFile	964	977	14	normal	leave until owning subsystem is clearer
npcCombatReadinessLine	2106	2119	14	normal	leave until owning subsystem is clearer
animalNeedReadLine	2155	2168	14	normal	leave until owning subsystem is clearer
emergencyMachineName	2493	2506	14	normal	leave until owning subsystem is clearer
movementSurfaceKeyAt	3513	3526	14	normal	leave until owning subsystem is clearer
advanceMovementTurn	3861	3874	14	normal	leave until owning subsystem is clearer
npcColor	3972	3985	14	normal	leave until owning subsystem is clearer
reloadCurrentRangedWeapon	4216	4229	14	normal	leave until owning subsystem is clearer
authorityCollectCorpse	4711	4724	14	normal	leave until owning subsystem is clearer
bodyPartForLocation	5119	5132	14	normal	leave until owning subsystem is clearer
nearestArbitesReleasePoint	6143	6156	14	normal	leave until owning subsystem is clearer
npcGreeting	6449	6462	14	normal	leave until owning subsystem is clearer
npcWorkLine	6543	6556	14	normal	leave until owning subsystem is clearer
recoverOldNewspaperAt	6990	7003	14	normal	leave until owning subsystem is clearer
transitionPreview	7331	7344	14	normal	leave until owning subsystem is clearer
rawCanPlacePendingBuildAtUncached	7627	7640	14	normal	leave until owning subsystem is clearer
workProcessScrap	8079	8092	14	normal	leave until owning subsystem is clearer
acceptFactionContract	8848	8861	14	normal	leave until owning subsystem is clearer
depositToSelectedBank	9140	9153	14	normal	leave until owning subsystem is clearer
acceptBankLockboxContract	9416	9429	14	normal	leave until owning subsystem is clearer
nearestLootGroundTile	9679	9692	14	normal	leave until owning subsystem is clearer
nearestFactionForRepresentative	9754	9767	14	normal	leave until owning subsystem is clearer
finishLoadingTransition	10086	10099	14	normal	leave until owning subsystem is clearer
launcherMenuAction	10544	10557	14	normal	leave until owning subsystem is clearer
openWorldSelection	10808	10821	14	normal	leave until owning subsystem is clearer
generateConfiguredWorldForCharacterCreation	10871	10884	14	normal	leave until owning subsystem is clearer
inGameEditorGridCellAt	11373	11386	14	normal	leave until owning subsystem is clearer
drawKnowledgeTreeGraph	12435	12448	14	render	render helper candidate
zoneGenerationRole	13757	13770	14	normal	leave until owning subsystem is clearer
factionRoleText	13823	13836	14	normal	leave until owning subsystem is clearer
