function	count	file_count	classes	paths
active	5	4	FirstPersonRenderViewport, Projectile2DPool, Recorder, RenderStressTestCoordinator, ScreenGlitchEffect	src/mechanist/FirstPerson3DFramework.java, src/mechanist/FramePacingAndStressFramework.java, src/mechanist/SectorGenerationTraceAuthority.java, src/mechanist/VisualJuiceFramework.java
activeActionCountdownOverlay	2	2	SinglePlayerSectorRuntimeBridge, TickSummary	src/mechanist/PlayerActionRegistry.java, src/mechanist/SinglePlayerSectorRuntimeBridge.java
activeActionTicksRemaining	2	2	SinglePlayerSectorRuntimeBridge, TickSummary	src/mechanist/PlayerActionRegistry.java, src/mechanist/SinglePlayerSectorRuntimeBridge.java
activeCount	2	2	OperationRecord, PrimitiveParticleEmitter2D	src/mechanist/MachineOperationQueue.java, src/mechanist/VisualJuiceFramework.java
activeWorldPath	2	2	ServerRuntimeStatus, ServerRuntimeStatusProvider	src/mechanist/server/admin/ServerRuntimeStatus.java, src/mechanist/server/admin/ServerRuntimeStatusProvider.java
actor	2	2	Kind, PlayerFacingInspectionText	src/mechanist/PlayerFacingInspectionText.java, src/mechanist/server/admin/ServerAdminEvent.java
add	28	24	CompositionAudit, CorridorComponent, DataSpikeChance, DisplayChoice, DynamicMusicManager, EntityTimeline, Entry, FacilityLinkedRoomCacheApi, FactionInventoryStockAuthority, FactionPopulationTracker, FactionWideStockTracker, GameplayConsoleCommandAuthority, ItemCatalog, ItemCatalogExpansionApi, NpcInventoryModel, PlayerDefeatAndScoreAuthority, PortableLightProfile, ProductionFacilityOutputSimulationApi, ProductionInputConsumptionRecord, SnapshotRingBuffer	src/mechanist/AudioRuntimeFramework.java, src/mechanist/CombatRuntimeFramework.java, src/mechanist/ContainerTradeFramework.java, src/mechanist/EntityInterpolationBuffer.java, src/mechanist/EnvironmentSensesFramework.java, src/mechanist/FactionInventoryStockAuthority.java, src/mechanist/FactionPopulationTracker.java, src/mechanist/FactionWideStockTracker.java, src/mechanist/GameOptionsFramework.java, src/mechanist/GameplayConsoleCommandAuthority.java, src/mechanist/ItemEconomyFramework.java, src/mechanist/KnowledgeBranchDefinitions.java, src/mechanist/KnowledgeQualityFramework.java, src/mechanist/LootDropSystemAuthority.java, src/mechanist/NameLockedProfilePortraitAuthority.java, src/mechanist/ProductionAuthorityFramework.java, src/mechanist/PublicServiceMediaAuthority.java, src/mechanist/RoomManifestApi.java, src/mechanist/SnapshotDeltaCompressor.java, src/mechanist/TileInfopediaAuthority.java
addNode	2	2	ResearchTree, UnlockResult	src/mechanist/KnowledgeTree.java, src/mechanist/modapi/ResearchTree.java
adjustScreenShake	2	2	AccessibilityRuntimeOptionsSubsystem, LayerF	src/mechanist/AccessibilityRuntimeOptionsSubsystem.java, src/mechanist/LayerF.java
adjustSelectedColor	4	3	AccessibilityRuntimeOptionsSubsystem, GameOptions, LayerF, OptionsBoundaryAuthority	src/mechanist/AccessibilityRuntimeOptionsSubsystem.java, src/mechanist/GameOptionsFramework.java, src/mechanist/LayerF.java
all	4	4	AssetRegistry, CraftingRecipe, KnowledgeDef, PopulationWorkAssignmentApi	src/mechanist/KnowledgeQualityFramework.java, src/mechanist/ProductionAuthorityFramework.java, src/mechanist/WorldSimulationFramework.java, src/mechanist/assets/AssetRegistry.java
analyze	2	2	AuditSnapshot, DisconnectAction	src/mechanist/PlayerBehaviorMonitor.java, src/mechanist/SectorAuditRuntimeAuthority.java
apply	27	17	AdminAddMoneyCommand, AdminAdvanceTurnCommand, AdminSpawnItemCommand, AdminTeleportCommand, ChangeZoneCommand, ConfirmCombatCommand, ConfirmInteractionCommand, GenericControllerSchema, KeyboardInputBridge, MovePlayerCommand, ProtectionState, Result, ScreenGlitchEffect, UnequipEquipmentCommand, UseInventoryCommand, WaitCommand, WindowModeSurfaceAuthority, WorldEconomyInitializationAuthority	src/mechanist/EconomicGenerationBiasAuthority.java, src/mechanist/EconomicLocalTopologyMetadataSurfaceAuthority.java, src/mechanist/EconomicTopologyMapIntelBridgeAuthority.java, src/mechanist/EconomicTopologyReportingOverlayAuthority.java, src/mechanist/GameOptionsFramework.java, src/mechanist/GenericControllerSchema.java, src/mechanist/KeyboardInputBridge.java, src/mechanist/LoginProtectionTracker.java, src/mechanist/RetargetReadinessAuditAuthority.java, src/mechanist/RoadAdjacencyIntegrationAuthority.java, src/mechanist/RoadFrontageFixtureAuthority.java, src/mechanist/RoadGridIntegrationAuthority.java, src/mechanist/RoomFixtureInteractionAuthority.java, src/mechanist/VisualJuiceFramework.java, src/mechanist/WorldCommandRequest.java, src/mechanist/WorldEconomyInitializationAuthority.java, src/mechanist/WorldRuntimeGenerationFramework.java
applyOptions	2	2	DisplayScaleOptionsSubsystem, Layout	src/mechanist/DisplayScaleOptionsSubsystem.java, src/mechanist/RenderScalingCrtAuthority.java
applyQoL	2	2	DoomRuntimeOptionsSubsystem, LayerE	src/mechanist/DoomRuntimeOptionsSubsystem.java, src/mechanist/LayerE.java
applySupplyChainStock	2	1	TraderSession, TraderSupplyChainApi	src/mechanist/ContainerTradeFramework.java
applyTo	2	2	AppIconAuthority, LootItemQuality	src/mechanist/AppIconAuthority.java, src/mechanist/LootDropSystemAuthority.java
applyWindowMode	2	2	LayerD, LayerG	src/mechanist/LayerD.java, src/mechanist/LayerG.java
artKeyForType	10	10	Variant, VehicleProfile	src/mechanist/ArbitesPrecinctFixtureAuthority.java, src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/DomesticHabFixtureAuthority.java, src/mechanist/FoodBioProductionFixtureAuthority.java, src/mechanist/GuardPdfDefenseFixtureAuthority.java, src/mechanist/IndustrialForgeFixtureAuthority.java, src/mechanist/LabChemicalFixtureAuthority.java, src/mechanist/MedicaeFixtureAuthority.java, src/mechanist/NobleEstateSecurityFixtureAuthority.java, src/mechanist/RoadTransitFixtureAuthority.java
assignLongAction	2	1	TickSummary	src/mechanist/PlayerActionRegistry.java
assignmentProblem	2	1	ControlledProductionJobAuthority, CraftingRecipe	src/mechanist/ProductionAuthorityFramework.java
attributes	4	4	FactionProfile, ItemTemplate, RoomNode, SectorInstance	src/mechanist/modapi/FactionProfile.java, src/mechanist/modapi/ItemTemplate.java, src/mechanist/modapi/RoomNode.java, src/mechanist/modapi/SectorInstance.java
audit	23	10	ActorAccessAuditApi, AssetRegistry, AuthorityAlignmentAuditApi, BuildRequirementCostAuditApi, CharacterCreationAuditApi, ChemicalEquipmentAuditApi, CompositionAudit, ControlledProductionJobAuditApi, DebugLog, FacilityOutputModifierAuditApi, FactionRecipeVariantAuditApi, GameplayConsoleCommandAuthority, HardeningAudit, ItemLedgerAuthority, LiveProductionPlacementAuditApi, PartitionAudit, PersistentStockContainerAuditApi, PersistentStockPickupUxAuditApi, ProductionContainerAuthorityAuditApi, ProductionLedgerDisplayAuditApi	src/mechanist/AssetRegistryHardeningAuthority.java, src/mechanist/CharacterIdentityFramework.java, src/mechanist/DebugLog.java, src/mechanist/GameplayConsoleCommandAuthority.java, src/mechanist/ItemEconomyFramework.java, src/mechanist/KnowledgeBranchDefinitions.java, src/mechanist/PortraitSemanticAssetAuthority.java, src/mechanist/ProductionAuthorityFramework.java, src/mechanist/assets/AssetRegistry.java, src/mechanist/modapi/SimulationContext.java
auditLine	13	8	CraftingRecipe, DraftIndustrialRecipe, FactionRecipeVariant, FactionRosterAuthority, LaboratoryEquipmentProfile, MachineTierProfile, OperationRecord, ProductionRecipe, QualityAuthorityProfile, RuntimeWindowState, SaveEfficiencyAuthority, Selection, SimulationEditorRepository	src/mechanist/CharacterIdentityFramework.java, src/mechanist/KnowledgeQualityFramework.java, src/mechanist/MachineOperationQueue.java, src/mechanist/NpcTurnBudgetScheduler.java, src/mechanist/ProductionAuthorityFramework.java, src/mechanist/SaveEfficiencyAuthority.java, src/mechanist/SimulationEditorRepository.java, src/mechanist/UniversalWindowAuthority.java
auditLines	14	12	ChemicalEquipmentAuthority, CompositionAudit, EcclesiarchyTempleApi, KnowledgeTreeApi, MachineTierAuthority, QualityAuthorityApi, Result, RuntimeSeparationAuthority, Variant, ZonePurposeProfile	src/mechanist/EcclesiarchyTempleApi.java, src/mechanist/EconomicGenerationBiasAuthority.java, src/mechanist/EconomicLocalTopologyMetadataSurfaceAuthority.java, src/mechanist/EconomicTopologyFramework.java, src/mechanist/EconomicTopologyMapIntelBridgeAuthority.java, src/mechanist/EconomicTopologyReportingOverlayAuthority.java, src/mechanist/KnowledgeBranchDefinitions.java, src/mechanist/KnowledgeQualityFramework.java, src/mechanist/NobleEstateSecurityFixtureAuthority.java, src/mechanist/ProductionAuthorityFramework.java, src/mechanist/RetargetReadinessAuditAuthority.java, src/mechanist/RuntimeSeparationAuthority.java
auditSummary	79	75	AgeAndWorldTimeAuthority, AssetIntegrationDisciplineAuthority, BlueprintGovernanceSpec, ChatRuntimeAuthority, ConstructionPlacementFeedbackAuthority, ConstructionValidationInspectionAuthority, CvdMode, DeathResolution, DefenseBuildSelectionAuthority, DefenseProfile, Definition, DisplayChoice, DisplayDensityAuthority, EconomicTopologyPreviewConsumerAuthority, Entry, GamepadInputEngine, GameplayConsoleCommandAuthority, GameplayQualityOfLifeAuthority, GenericControllerSchema, Holder	src/mechanist/AccessibilityCompatibilityAuthority.java, src/mechanist/AdminCommandDispatcher.java, src/mechanist/AgeAndWorldTimeAuthority.java, src/mechanist/ArbitesPrecinctFixtureAuthority.java, src/mechanist/AssetIntegrationDisciplineAuthority.java, src/mechanist/AuthoritativeWorldRuntime.java, src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/BlueprintConstructionAuthority.java, src/mechanist/ChatRuntimeAuthority.java, src/mechanist/ConstructionGovernanceAuthority.java, src/mechanist/ConstructionPlacementFeedbackAuthority.java, src/mechanist/ConstructionValidationInspectionAuthority.java, src/mechanist/DefenseBuildSelectionAuthority.java, src/mechanist/DefenseSemanticIntegration.java, src/mechanist/DisplayDensityAuthority.java, src/mechanist/DomesticHabFixtureAuthority.java, src/mechanist/EconomicTopologyFramework.java, src/mechanist/EconomicTopologyMapIntelBridgeAuthority.java, src/mechanist/EconomicTopologyPreviewConsumerAuthority.java, src/mechanist/EconomicTopologyReportingOverlayAuthority.java
available	2	2	LwjglRenderBackendProbe, SectorEntityPool	src/mechanist/FirstPerson3DFramework.java, src/mechanist/SectorManager.java
availableItems	2	2	FactionWideStockTracker, ZoneFactionStockTracker	src/mechanist/FactionWideStockTracker.java, src/mechanist/ZoneFactionStockTracker.java
balance	2	2	FactionProductionTracker, ZoneProductionTracker	src/mechanist/FactionProductionTracker.java, src/mechanist/ZoneProductionTracker.java
balances	2	2	FactionProductionTracker, ZoneProductionTracker	src/mechanist/FactionProductionTracker.java, src/mechanist/ZoneProductionTracker.java
bind	3	3	MultiplayerHostBindingService, NativeTcpRelayServer, TileSemanticAssetAuthority	src/mechanist/MultiplayerHostBindingService.java, src/mechanist/NativeTcpRelayServer.java, src/mechanist/TileSemanticAssetAuthority.java
bindGlyphToAlias	2	2	GlyphBinder, TileImageRegistry	src/mechanist/GlyphBinder.java, src/mechanist/TileImageRegistry.java
bindGlyphToFirstAvailableAlias	2	2	GlyphBinder, TileImageRegistry	src/mechanist/GlyphBinder.java, src/mechanist/TileImageRegistry.java
bindSemanticToAlias	2	2	GlyphBinder, TileImageRegistry	src/mechanist/GlyphBinder.java, src/mechanist/TileImageRegistry.java
bindSemanticToFirstAvailableAlias	2	2	GlyphBinder, TileImageRegistry	src/mechanist/GlyphBinder.java, src/mechanist/TileImageRegistry.java
block	2	2	CheckResult, OperationRecord	src/mechanist/LogisticsHaulFulfillmentPreflightAuthority.java, src/mechanist/MachineOperationQueue.java
blocked	2	2	Result, ServerSafeRestartService	src/mechanist/SelfEntombmentConstructionAuthority.java, src/mechanist/server/admin/ServerSafeRestartService.java
bool	2	2	ModDataMappingVerifier, OptionalJamepadBackend	src/mechanist/GamepadInputEngine.java, src/mechanist/ModDataMappingVerifier.java
bufferScaleX	2	1	Layout	src/mechanist/RenderScalingCrtAuthority.java
bufferScaleY	2	1	Layout	src/mechanist/RenderScalingCrtAuthority.java
buildTabs	2	2	KnowledgeStateBridge, SimulationEditorSuite	src/mechanist/KnowledgeMenu.java, src/mechanist/SimulationEditorSuite.java
buildUi	2	2	GraphicsPackageSelectorPanel, KeybindingRemappingPanel	src/mechanist/ui/GraphicsPackageSelectorPanel.java, src/mechanist/ui/KeybindingRemappingPanel.java
cacheProvenance	2	2	FacilityLinkedRoomCacheApi, HivewallRoomCacheApi	src/mechanist/ContainerTradeFramework.java, src/mechanist/WorldRuntimeGenerationFramework.java
cacheSize	3	2	AssetManager, RenderImageScaleCacheAuthority, TextLayoutAuthority	src/mechanist/UiRuntimeSupportFramework.java, src/mechanist/assets/AssetManager.java
canUnlock	2	2	ResearchTree, UnlockResult	src/mechanist/KnowledgeTree.java, src/mechanist/modapi/ResearchTree.java
cap	6	6	CheckResult, ManualHaulContractRecord, ManualHaulPreviewRecord, SourceNeed, TopologyContext, exists	src/mechanist/EconomicTopologyPreviewConsumerAuthority.java, src/mechanist/LogisticsContractLifecycleAuthority.java, src/mechanist/LogisticsHaulFulfillmentPreflightAuthority.java, src/mechanist/LogisticsManualHaulContractAuthority.java, src/mechanist/LogisticsManualHaulExecutionAuthority.java, src/mechanist/LogisticsRouteReadinessPreviewAuthority.java
cast	2	1	ViewportRaycaster	src/mechanist/FirstPerson3DFramework.java
categoryFor	3	3	ControlledProductionJobAuthority, TraderSupplyChainApi, TraderTradeActionAuthority	src/mechanist/ContainerTradeFramework.java, src/mechanist/ProductionAuthorityFramework.java, src/mechanist/TraderTradeActionAuthority.java
center	2	2	ConnectionChoice, UiTextSurfacePainter	src/mechanist/UiTextSurfacePainter.java, src/mechanist/WorldRuntimeGenerationFramework.java
centralPlazaRect	2	1	World, WorldGenerationApi	src/mechanist/WorldRuntimeGenerationFramework.java
changeConversationVolume	2	2	LayerB, OptionsBoundaryAuthority	src/mechanist/GameOptionsFramework.java, src/mechanist/LayerB.java
changeDoomFov	2	2	DoomRuntimeOptionsSubsystem, LayerE	src/mechanist/DoomRuntimeOptionsSubsystem.java, src/mechanist/LayerE.java
changeFontScale	2	2	DisplayScaleOptionsSubsystem, LayerI	src/mechanist/DisplayScaleOptionsSubsystem.java, src/mechanist/LayerI.java
changeJvmMemory	2	2	JvmRuntimeOptionsSubsystem, LayerJ	src/mechanist/JvmRuntimeOptionsSubsystem.java, src/mechanist/LayerJ.java
changeMusicVolume	2	2	LayerB, OptionsBoundaryAuthority	src/mechanist/GameOptionsFramework.java, src/mechanist/LayerB.java
changeResolution	2	2	LayerG, OptionsBoundaryAuthority	src/mechanist/GameOptionsFramework.java, src/mechanist/LayerG.java
changeSfxVolume	2	2	LayerB, OptionsBoundaryAuthority	src/mechanist/GameOptionsFramework.java, src/mechanist/LayerB.java
changeUiScale	2	2	DisplayScaleOptionsSubsystem, LayerI	src/mechanist/DisplayScaleOptionsSubsystem.java, src/mechanist/LayerI.java
changeWorldZoom	3	3	LayerG, LayerI, MapViewportOptionsSubsystem	src/mechanist/LayerG.java, src/mechanist/LayerI.java, src/mechanist/MapViewportOptionsSubsystem.java
chooseGeneratedAssetPayloadRoot	2	2	GeneratedArtPayloadOptionsSubsystem, LayerG	src/mechanist/GeneratedArtPayloadOptionsSubsystem.java, src/mechanist/LayerG.java
chooseRoomFixtureType	9	9	Variant	src/mechanist/ArbitesPrecinctFixtureAuthority.java, src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/DomesticHabFixtureAuthority.java, src/mechanist/FoodBioProductionFixtureAuthority.java, src/mechanist/GuardPdfDefenseFixtureAuthority.java, src/mechanist/IndustrialForgeFixtureAuthority.java, src/mechanist/LabChemicalFixtureAuthority.java, src/mechanist/MedicaeFixtureAuthority.java, src/mechanist/NobleEstateSecurityFixtureAuthority.java
circulationLine	2	1	FactionDoctrine, ZonePurposeProfile	src/mechanist/EconomicTopologyFramework.java
clamp	7	7	Persistence, PredictedLocalController, PriceIndexControlAuthority, ProgressiveConstructionAuthority, Result, ZoneContainerInjection, ZonePurposeProfile	src/mechanist/EconomicTopologyFramework.java, src/mechanist/LootDropSystemAuthority.java, src/mechanist/PersistenceFramework.java, src/mechanist/PredictedLocalController.java, src/mechanist/PriceIndexControlAuthority.java, src/mechanist/ProgressiveConstructionAuthority.java, src/mechanist/RoadFrontageFixtureAuthority.java
clamp01	3	3	EntityTimeline, VisualJuiceFramework, ZoneContainerInjection	src/mechanist/EntityInterpolationBuffer.java, src/mechanist/LootDropSystemAuthority.java, src/mechanist/VisualJuiceFramework.java
clamp255	2	2	CvdMode, VisualJuiceFramework	src/mechanist/AccessibilityCompatibilityAuthority.java, src/mechanist/VisualJuiceFramework.java
clampInt	3	3	SnapshotDeltaCompressor, WorldSetupSettings, to	src/mechanist/SimulationEditorSuite.java, src/mechanist/SnapshotDeltaCompressor.java, src/mechanist/WorldSimulationFramework.java
classPresent	2	2	missing, not	src/mechanist/SteamNetworkingBridge.java, src/mechanist/WindowsLaunchHealthCheck.java
classify	2	2	SemanticAssetPathAudit, SessionSnapshotProvider	src/mechanist/ServerDisasterRecoveryEngine.java, src/mechanist/assets/SemanticAssetPathAudit.java
classifyCorridor	2	2	Result	src/mechanist/EconomicGenerationBiasAuthority.java, src/mechanist/EconomicLocalTopologyMetadataSurfaceAuthority.java
clean	28	27	Anchor, BlueprintGovernanceSpec, CheckResult, ConstructionPlacementFeedbackAuthority, DefenseProfile, DeliveryIntentRecord, LorePayload, ManualHaulPreviewRecord, OperationRecord, PlayerNewsEvent, PlayerSnapshot, ProductionQueueRecordBridge, Profile, ProfileRegistrationException, ProgressiveConstructionAuthority, ProtectionState, Rejected, RespawnResult, RuntimeProfile, RuntimeWindowState	src/mechanist/ConstructionGovernanceAuthority.java, src/mechanist/ConstructionPlacementFeedbackAuthority.java, src/mechanist/DefenseSemanticIntegration.java, src/mechanist/FactionServicesFramework.java, src/mechanist/FallbackProfileManagementAuthority.java, src/mechanist/HandshakeNetworkFrame.java, src/mechanist/LoginProtectionTracker.java, src/mechanist/LogisticsContractLifecycleAuthority.java, src/mechanist/LogisticsDeliveryIntentAuthority.java, src/mechanist/LogisticsHaulFulfillmentPreflightAuthority.java, src/mechanist/LogisticsManualHaulContractAuthority.java, src/mechanist/LogisticsManualHaulExecutionAuthority.java, src/mechanist/LogisticsRouteIntentAuthority.java, src/mechanist/LogisticsRouteReadinessPreviewAuthority.java, src/mechanist/LogisticsSourceReservationAuthority.java, src/mechanist/MachineOperationQueue.java, src/mechanist/ModContentPayload.java, src/mechanist/MultiplayerRespawnManager.java, src/mechanist/ProductionQueueRecordBridge.java, src/mechanist/ProgressiveConstructionAuthority.java
cleanReason	2	2	Context, TickSummary	src/mechanist/PlayerActionRegistry.java, src/mechanist/PlayerFacingDenialText.java
cleanWorldId	3	3	PlayMode, SaveDomain, TickSummary	src/mechanist/PlayerActionRegistry.java, src/mechanist/ServerRuntimePaths.java, src/mechanist/WorldTurnManager.java
clear	3	3	InMemorySectorNetworkGateway, RenderImageScaleCacheAuthority, TileImageRegistry	src/mechanist/SectorManager.java, src/mechanist/TileImageRegistry.java, src/mechanist/UiRuntimeSupportFramework.java
clearGeneratedAssetPayloadRoot	2	2	GeneratedArtPayloadOptionsSubsystem, LayerG	src/mechanist/GeneratedArtPayloadOptionsSubsystem.java, src/mechanist/LayerG.java
close	5	5	MainMenuLanguageSelectorAuthority, MutationCommit, RuntimeWindowState, SectorManager, SinglePlayerSectorRuntimeBridge	src/mechanist/AuthoritativeWorldRuntime.java, src/mechanist/MainMenuLanguageSelectorAuthority.java, src/mechanist/SectorManager.java, src/mechanist/SinglePlayerSectorRuntimeBridge.java, src/mechanist/UniversalWindowAuthority.java
closeQuietly	2	2	ClientConnection, ServerRuntime	src/mechanist/MechanistServerMain.java, src/mechanist/NativeTcpRelayServer.java
color	2	1	EnvironmentalHazardRecord, ZoneLightSourceRecord	src/mechanist/EnvironmentSensesFramework.java
combat	2	2	Context, PlayerFacingActionText	src/mechanist/PlayerFacingActionText.java, src/mechanist/PlayerFacingDenialText.java
compact	14	14	AuthoritativeWorldSnapshot, ContractLifecycleRecord, DeliveryIntentRecord, FacilityLinkedRoomCacheApi, FulfillmentPreflightRecord, ManualHaulContractRecord, ManualHaulExecutionRecord, ManualHaulPreviewRecord, MutationSink, PlayerSnapshot, ReservationForecast, RouteIntentRecord, SourceReservationRecord, ZoneLedger	src/mechanist/AbstractDistantZoneSimulation.java, src/mechanist/AdminCommandDispatcher.java, src/mechanist/AuthoritativeWorldRuntime.java, src/mechanist/ContainerTradeFramework.java, src/mechanist/LogisticsContractLifecycleAuthority.java, src/mechanist/LogisticsDeliveryIntentAuthority.java, src/mechanist/LogisticsHaulFulfillmentPreflightAuthority.java, src/mechanist/LogisticsManualHaulContractAuthority.java, src/mechanist/LogisticsManualHaulExecutionAuthority.java, src/mechanist/LogisticsReservationForecastAuthority.java, src/mechanist/LogisticsRouteIntentAuthority.java, src/mechanist/LogisticsRouteReadinessPreviewAuthority.java, src/mechanist/LogisticsSourceReservationAuthority.java, src/mechanist/WorldSnapshot.java
compactLine	13	12	AuditFinding, BlueprintGovernanceSpec, ConstructionValidationInspectionAuthority, Entry, HostBindingResult, OperationProfile, PressureProfile, Promotion, RoomGovernanceSpec, RuntimeProfile, ServerConfig, ValidationResult, WindowSpec	src/mechanist/ConstructionGovernanceAuthority.java, src/mechanist/ConstructionValidationInspectionAuthority.java, src/mechanist/EconomicTopologyFramework.java, src/mechanist/HostBindingResult.java, src/mechanist/InfrastructurePromotionRegistry.java, src/mechanist/MachineOperationQueue.java, src/mechanist/NameLockedProfilePortraitAuthority.java, src/mechanist/RuntimeProfile.java, src/mechanist/SectorAuditRuntimeAuthority.java, src/mechanist/ServerConfig.java, src/mechanist/StaffingRoleSkillValidationAuthority.java, src/mechanist/UniversalWindowAuthority.java
compactSummary	11	11	Anchor, CandidateLine, CheckResult, DeliveryIntentRecord, LaborRole, MachineOperationStatusBridge, ManualHaulPreviewRecord, ReservationForecast, SourceNeed, a, only	src/mechanist/LogisticsDeliveryIntentAuthority.java, src/mechanist/LogisticsHaulFulfillmentPreflightAuthority.java, src/mechanist/LogisticsManualHaulContractAuthority.java, src/mechanist/LogisticsManualHaulExecutionAuthority.java, src/mechanist/LogisticsReservationForecastAuthority.java, src/mechanist/LogisticsRouteIntentAuthority.java, src/mechanist/LogisticsRouteReadinessPreviewAuthority.java, src/mechanist/LogisticsSourceReservationAuthority.java, src/mechanist/LogisticsStorageCandidateAuthority.java, src/mechanist/MachineOperationStatusBridge.java, src/mechanist/StaffingLaborBridgeAuthority.java
compute	2	2	LightSample, Viewport	src/mechanist/MapViewportTransformAuthority.java, src/mechanist/VisualLightingAuthority.java
configure	2	1	FrameLimiterEngine, HighPrecisionFramePulseLoop	src/mechanist/FramePacingAndStressFramework.java
construction	2	2	Context, PlayerFacingActionText	src/mechanist/PlayerFacingActionText.java, src/mechanist/PlayerFacingDenialText.java
